fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine_type
0.8367,4.1327,-2.0552,-0.4295,0.7983,-1.3819,-1.8533,1.4085,1.6265,-0.2774,0.4261,3,0
-2.326,-0.7573,-0.61,-0.0721,-0.4292,1.8861,0.73,0.7282,1.2533,-0.6134,-2.0894,3,1
1.6853,-0.6054,-0.1971,0.6425,-0.5433,5.2668,1.6323,-0.249,-1.981,-1.0166,0.4261,3,1
-0.3975,2.5533,-2.0552,-0.7658,0.6271,-1.3819,-1.8356,0.4347,2.0619,0.6635,-0.4543,3,0
-0.3975,-0.5447,-0.4035,-0.8183,-0.4292,4.9569,1.7739,0.0678,2.0619,0.6635,-0.9155,3,1
-0.8604,-0.8484,0.147,0.8527,-0.4292,0.4212,1.5085,0.1012,-0.4883,-0.6134,-0.3285,3,1
0.8367,-0.0587,0.6976,-0.9024,-0.6575,-0.7057,-0.3494,-1.1995,-0.1151,-1.4199,1.6,3,1
-1.0918,-0.6054,0.8352,-0.4085,-0.7717,-1.4382,-0.1193,-1.1328,1.9375,-0.6806,1.0131,3,1
-0.0889,0.9132,-0.6788,-0.7238,-0.2579,6.5345,3.3929,-0.7659,0.1337,-1.0838,0.4261,3,1
2.4567,1.6421,1.1793,-0.7027,4.1097,-1.4382,-1.7648,1.5686,-0.3639,0.6635,-1.754,3,0
3.5367,-0.6662,0.4223,1.189,-0.629,-0.8748,0.1284,1.6687,-1.7944,0.1259,-0.6639,3,1
-0.3204,2.8874,-2.1928,-0.8919,6.0223,-0.8184,-1.5348,0.0045,0.6313,-0.1429,-0.5801,3,0
0.991,-0.4839,-0.7476,2.261,0.5129,0.5902,1.4377,1.1017,-1.2347,-0.2101,-0.5801,3,1
2.3796,-1.0306,1.0417,-0.8499,-0.5433,-1.4382,-1.4641,-0.2657,-2.0432,-1.6887,-0.7478,3,1
-0.0889,-0.1195,0.0094,1.168,-0.5148,-0.8184,-0.8802,-0.3324,0.1337,-0.8822,0.8454,3,1
0.7596,-0.3017,1.1793,-0.934,-0.3435,-0.0859,0.0399,-0.6325,0.1337,-1.151,0.3423,4,1
0.0653,0.1235,1.5234,1.6515,-0.0581,1.8298,1.3669,1.3151,-0.9859,-0.2774,-1.5863,4,1
-0.7061,-0.4232,1.317,0.4533,-0.2008,0.2521,1.4908,0.2613,-0.3639,0.0587,-0.9155,4,1
-0.7061,-0.4232,1.317,0.4533,-0.2008,0.2521,1.4908,0.2613,-0.3639,0.0587,-0.9155,4,1
-0.2432,-0.8484,0.147,-0.7448,-0.3721,-0.3113,0.3584,-0.3991,0.5691,0.4619,-0.3285,4,1
-0.3204,2.0066,-0.1282,1.5884,6.6788,-0.4804,1.3669,1.2351,-0.8615,0.9324,-1.2509,4,1
-0.6289,0.1843,-1.367,0.096,-0.001,-1.3819,-0.4378,0.2212,-0.9859,-0.479,-1.754,4,1
0.0653,0.245,-0.61,0.2221,-0.1722,-0.7057,-0.2432,-0.5525,-0.7371,0.1259,0.5938,4,1
-0.4747,0.245,-0.9541,-0.8919,-0.4006,-0.593,-0.5617,-0.6659,0.0093,-0.5462,-0.3285,4,1
-0.0118,1.6725,-1.5046,-0.8499,0.3416,-0.3113,0.6769,0.0978,-0.1151,-0.3446,-0.6639,4,1
-0.0889,-0.6662,-0.5412,-0.0091,-0.4863,1.6607,1.42,0.0345,-0.1773,1.6716,-0.4124,4,1
-0.6289,1.1562,-1.5735,-0.3244,1.9116,-0.9311,-1.4994,0.7015,1.7509,0.9324,0.4261,4,0
0.9139,-0.3017,-0.1971,-0.9234,-0.6861,-1.4945,-1.0748,-1.2996,-1.9188,-1.4199,0.7615,4,1
0.6825,-0.3624,0.9729,2.0929,0.0847,0.0831,1.0838,1.9021,0.3203,0.3275,-1.2509,4,1
1.1453,-0.1802,-0.7476,0.033,-0.4863,-0.1423,-0.8625,-0.4725,-1.6078,-0.0757,0.4261,4,1
1.6081,-0.8484,0.0782,-0.7868,-0.1722,-0.1423,1.1015,0.2346,-0.3639,-0.6806,-1.2509,4,1
-0.8604,-0.1195,0.3535,-0.7658,-0.1437,-0.9875,1.4908,-0.0656,1.6887,-0.6134,0.0069,4,1
-1.8632,1.8851,-1.367,-0.9129,-1.2285,-1.4945,-1.871,-0.7459,0.6313,-1.151,2.5223,4,1
-0.1661,1.6421,-0.4035,-0.7868,-0.1437,-0.3113,0.8007,-0.0322,0.8801,0.4619,0.0907,4,1
-0.3204,2.3711,-0.8164,0.2431,-0.0581,-0.3113,-0.8979,-0.4858,-0.6127,-1.6887,0.51,4,1
-0.5518,-0.4232,-0.8853,-0.2613,-0.2864,-1.3819,-0.0309,0.2679,0.1959,-1.2182,-1.5863,4,1
-0.9375,0.3361,-2.1928,-0.8499,-0.4006,-1.3255,-1.0748,-1.1161,0.9423,-1.0166,0.5938,4,1
1.3767,0.5487,-0.1282,-0.8289,-0.1722,-1.3255,1.0484,0.1345,-0.6749,-0.5462,-0.6639,4,1
-0.0889,3.0393,-2.0552,-0.2193,1.1409,-1.4382,-1.8179,0.7682,1.1911,0.2603,0.4261,4,0
0.1425,-1.0306,0.56,0.0119,-0.5433,0.1958,0.8007,-0.3991,-1.0481,0.5963,0.8454,4,1
0.2196,0.245,1.1105,-0.5976,0.4843,-0.4804,-0.5617,0.8349,0.6313,1.134,-0.7478,4,0
-0.2432,-0.4839,1.1793,-0.8078,0.0561,0.4775,0.8892,0.6014,2.6839,-0.0757,-0.9155,4,1
-0.1661,1.3992,-1.5046,0.6005,1.0838,-0.424,1.2785,0.8349,1.1289,-0.4118,-1.0832,4,1
2.1481,3.4645,0.6976,-0.8078,-0.001,0.1958,1.1546,0.7015,-0.6749,-0.479,-0.4124,4,1
-0.4747,-0.1802,0.3535,0.1591,-0.1152,-0.9875,0.8538,0.4414,0.1337,-0.9494,-1.4186,4,1
-0.5518,0.245,1.4546,-0.8499,2.454,-1.4382,-0.8271,-0.6992,-0.4883,-0.0757,-0.3285,4,1
-0.8604,0.245,-1.2294,-0.3244,0.1132,-0.1986,-0.0486,-0.4191,-0.9237,-1.2855,-1.0832,4,1
-0.8604,0.245,-1.2294,-0.3244,0.1132,-0.1986,-0.0486,-0.4191,-0.9237,-1.2855,-1.0832,4,1
-1.4775,0.5487,-1.4358,-0.9129,-0.7717,-1.3819,-1.1456,-1.3129,1.8131,-0.3446,0.5938,4,1
-0.3975,-0.1802,-0.0594,0.9368,-0.4577,-1.1565,1.0484,0.2012,1.5021,0.1259,0.7615,4,1
-0.2432,4.5579,-1.7799,-0.7027,0.1418,-1.0438,-1.4994,0.0345,1.8131,-0.6806,0.7615,4,0
-1.4775,0.7917,-1.5046,-0.8709,-0.5719,-1.1001,-0.7386,-1.2929,1.6265,0.0587,0.5938,4,1
-0.0118,-0.1802,0.9729,-0.0932,-0.4577,-1.5509,-1.5348,-1.3663,-1.1103,-0.0085,1.6839,4,1
-0.6289,0.0628,0.2159,0.033,-0.629,-1.2128,0.5707,-0.0956,-0.3017,-0.2101,-0.5801,4,1
-1.2461,-0.9699,-0.1971,-0.6607,-0.4577,-1.4382,-1.2163,-1.1461,-0.9237,-0.5462,-0.3285,4,1
-0.0118,0.3665,2.074,1.126,-0.4292,2.2242,1.2962,0.9683,-0.8615,-0.2774,-1.5863,4,1
-0.0118,0.3665,2.074,1.126,-0.4292,2.2242,1.2962,0.9683,-0.8615,-0.2774,-1.5863,4,1
-0.2432,0.8525,-0.8164,-0.7448,0.7412,-1.2128,-1.641,0.3847,1.0667,-0.6806,-1.2089,4,0
0.9139,1.794,0.2847,-0.7238,0.9411,-0.8748,-1.0748,0.9183,0.5691,0.2603,-0.077,4,0
-0.3204,3.4645,-1.7799,-0.7238,0.1132,-1.4945,-1.8533,0.408,1.9375,0.7308,0.3423,4,0
0.2968,-0.1802,-0.61,1.5254,-0.0581,-0.593,0.4115,1.2218,-0.3639,-0.2101,-0.6639,4,1
-0.0118,1.4599,1.5234,-0.7027,1.6547,-1.5509,-1.8887,0.8316,0.6935,0.2603,-0.1608,4,0
0.6825,3.2215,-2.1928,-0.4505,1.1409,-0.255,-0.9686,1.8521,2.3729,1.2684,-0.5801,4,0
-0.3204,-0.3017,-1.0917,-0.8499,-0.5148,5.1822,2.1012,-0.8326,-0.4261,-0.4118,-0.4124,4,1
-0.8604,4.6186,-1.0917,-0.2193,-0.6575,-1.2692,-0.1193,-1.3729,0.8179,-0.4118,1.6,4,1
-0.5518,-0.0587,2.7622,-0.9129,0.1418,-1.3255,0.6238,-0.5658,-0.7993,0.2603,-0.8316,4,1
-0.3975,1.2169,-0.3347,0.3482,-0.2008,-1.2692,1.1015,0.1078,-0.3639,-1.0166,-0.9155,4,1
-0.8604,-0.3624,-0.4723,1.5674,-0.0581,0.1958,1.2962,1.0683,0.1959,-0.6806,-1.2509,4,1
-0.7832,2.7052,-2.1928,-0.7027,0.1132,-1.3819,-1.8179,0.6481,2.3107,0.5291,-0.4124,4,0
1.4539,2.5837,-1.9176,-0.8078,0.6271,-1.4945,-1.8002,1.1017,0.4447,0.0587,-0.6639,4,0
-0.4747,0.0628,-0.8853,1.0629,0.1132,-0.8748,-0.5971,0.3947,-0.5505,-1.0166,-0.4962,4,1
0.2968,1.3384,-1.367,1.0419,1.1409,-0.4804,1.0838,1.2017,0.6313,-0.5462,-1.167,4,1
-0.3975,4.2541,-1.6423,-0.6607,0.313,-0.6494,-1.4817,0.5948,1.8753,0.2603,0.4261,4,0
1.0682,0.002,0.2847,-0.8499,-0.315,-1.1001,0.0576,0.2879,-0.3017,-0.4118,-0.9155,4,1
1.0682,0.002,0.2847,-0.8499,-0.315,-1.1001,0.0576,0.2879,-0.3017,-0.4118,-0.9155,4,1
0.2196,4.7097,-1.5046,-0.4925,0.8554,-1.4382,-1.8356,0.368,1.9997,0.4619,0.5938,4,0
-1.2461,1.7029,-1.9864,-0.8289,0.6841,-1.3819,-1.8179,0.0945,2.7461,0.5963,-0.3285,4,0
0.2968,-0.1802,-0.61,1.5254,-0.0581,-0.593,0.4115,1.2218,-0.3639,-0.2101,-0.6639,4,1
-0.0118,0.9739,-2.1928,-0.976,-0.629,0.8719,-0.0309,-0.4991,-0.1773,-1.2855,-1.0832,4,1
-0.3975,1.2169,-0.3347,0.3482,-0.2008,-1.2692,1.1015,0.1078,-0.3639,-1.0166,-0.9155,4,1
0.6053,2.9785,-0.3347,-0.7238,0.6841,-1.1001,-0.9332,0.6081,0.4447,-0.3446,-0.5801,4,0
0.9139,-0.9091,0.6976,-0.8078,-0.2579,-1.2128,-0.2609,-0.2323,-0.9859,0.798,0.51,4,1
-0.2432,-0.1195,-1.0917,-0.8499,-0.1437,-0.8748,-0.3494,-0.2323,0.0093,-1.0166,-0.8316,4,1
0.7596,2.6748,-2.1928,-0.6817,0.9411,-0.9875,-1.5879,1.035,0.9423,-0.479,-0.7478,4,0
-0.7061,0.3058,-0.5412,0.3062,0.3701,-1.2128,0.0222,-0.1656,-0.4261,-1.2182,-0.2447,4,1
1.2224,3.7378,-1.8487,-0.7658,0.5414,-1.4382,-1.7118,0.488,0.5069,-0.6134,-0.7478,4,0
1.531,-0.3624,1.1793,1.3362,-0.4006,-0.0859,0.3761,1.1017,-0.7371,-1.2855,-0.3285,4,1
-0.0889,-0.4232,-0.2659,-0.8814,-0.943,-1.5509,-0.4732,-1.5897,-1.67,-1.5543,0.7615,4,1
0.991,0.3665,0.56,0.1801,-0.1722,-1.5509,-1.871,0.3213,0.3825,0.1931,1.2646,4,0
1.9938,-0.5447,2.8998,0.9578,-0.001,0.3085,1.9331,1.0016,-0.9859,-0.6806,-0.4124,4,1
0.1425,-0.3624,0.56,1.3572,-0.6861,-0.9875,-0.4201,0.5314,-1.2969,-0.479,0.2584,4,1
-0.1661,0.3058,-0.5412,-0.934,-0.2293,-1.2692,0.0576,-0.7993,-1.359,-1.4871,-0.3285,4,1
-0.3975,1.8244,-0.1282,-0.8919,-0.7432,-0.7057,-0.7032,-1.8332,-0.3639,0.4619,2.0193,4,1
2.5338,1.5206,1.1793,-0.7027,0.3987,-0.9311,-1.2163,1.4686,0.5069,0.1931,-0.7478,4,0
-0.5518,1.0954,-1.0229,-0.8499,-0.2579,-1.4382,-1.5879,-0.4991,0.2581,-1.4199,-0.4124,4,1
1.531,-0.7269,0.56,-0.6397,-0.0581,-0.7057,0.6238,0.1679,-1.1103,-0.479,-0.9993,4,1
2.071,0.9739,-0.5412,-0.6607,1.3407,-1.3819,-1.8002,1.035,0.7557,-0.0757,-0.4124,4,0
-0.7061,4.1327,-2.1928,-0.7238,0.7698,-0.7621,-1.6233,-0.1089,2.3107,0.1259,0.5938,4,0
-0.8604,1.5814,-2.1928,-0.8709,-0.4006,-0.3677,-0.6501,-0.3324,0.5691,-1.0166,-0.9155,4,1
-0.5518,0.8525,-2.0552,-0.955,-0.3721,0.0831,-0.2963,-0.8126,-0.4883,-0.4118,-0.5801,4,1
0.5282,-1.0914,-0.1282,-0.1352,-0.5433,0.3648,0.9777,0.6681,1.5643,-0.6134,-1.2509,4,1
0.6053,1.9459,2.7622,2.5448,-0.4006,1.7734,2.0747,1.7354,-1.8566,0.9996,-0.9155,4,1
-0.2432,-0.2409,0.2847,-0.1983,-0.0581,0.0267,1.5439,0.1445,1.1289,0.2603,-0.077,4,1
0.0653,-0.3624,0.6976,-0.8919,-0.6575,-0.0859,0.4646,-0.8827,-0.3017,-0.6806,0.1746,4,1
-0.2432,0.3058,-0.6788,-0.2403,-0.7432,-1.1565,-0.2432,-0.5658,-1.359,2.2765,0.9292,4,1
2.3024,-0.6662,0.3535,-0.6817,0.0276,-0.9311,-1.411,0.4814,0.0715,-0.2774,-0.9993,4,0
-0.2432,0.4272,-0.6788,-0.2613,-0.7146,-1.1565,-0.2432,-0.5658,-1.359,2.2093,0.9292,4,1
-0.9375,-0.0587,0.0094,1.5674,-0.0581,-1.3819,-0.0486,0.3413,0.5069,0.1931,0.8454,4,0
-0.5518,3.2822,-1.9864,0.033,0.6556,-0.424,-1.2163,0.3413,2.2485,-0.2101,0.5938,4,0
0.6825,2.3711,-2.1928,-0.6187,0.7127,-1.0438,-1.6233,1.095,1.0045,-0.479,-0.7478,4,0
0.991,-0.8484,0.56,-0.9129,-0.2864,0.0267,-0.1724,-0.9194,-1.359,-1.2182,0.0069,4,1
1.1453,-0.2409,1.8675,-0.7868,-0.2864,-1.1565,-0.8094,-0.3224,-0.9859,0.1931,0.2584,4,1
-0.7832,-0.5143,-0.5412,-0.7868,-0.4863,6.0838,2.7647,-0.0589,1.9375,-0.0085,-0.7478,4,1
-0.5518,-0.3017,-0.4723,-0.6187,2.454,-1.2692,-0.0839,-0.6659,-1.359,-0.6134,-0.4962,4,1
-0.3204,-0.4232,-0.1971,-0.1772,-0.2864,-1.3819,-0.4909,-0.0389,0.7557,-0.3446,0.0907,4,1
1.531,0.0628,0.4911,-0.955,-0.4006,-0.8748,-0.9686,-0.7659,-1.6078,-1.6887,-0.077,4,1
0.2968,-0.0587,0.2847,-0.7027,-0.629,-0.255,0.9954,-0.0989,1.2533,-0.3446,0.0069,4,1
-0.5518,2.0066,-2.1928,-0.2403,0.0276,-1.1001,-1.6941,0.0612,1.4399,0.1931,1.0969,4,0
0.2196,2.5229,-2.1928,-0.7448,0.7983,-1.3819,-1.8356,0.6748,0.7557,-0.2774,-0.6639,4,0
0.991,-0.7269,0.147,-0.997,-0.4577,-1.4382,-1.6056,-0.966,-1.1103,-1.0838,0.0069,4,1
-1.4775,-0.2409,-0.8164,-0.9129,0.5985,0.9846,0.8892,-0.0989,0.5069,0.0587,-1.5024,4,1
0.991,-0.9699,-0.1282,-0.9129,-0.8003,0.1958,-0.367,-0.6592,-2.4164,-1.151,-0.4124,4,1
-0.7832,0.5487,1.1793,0.2011,-0.315,-1.0438,-0.0132,0.5347,0.3203,0.2603,-1.2509,4,1
1.2224,0.0628,1.1793,-0.934,-0.5719,-0.9311,-1.0571,-0.8993,-1.6078,-1.3527,0.0069,4,1
-0.5518,-0.1195,1.1105,0.5374,-0.8574,-0.7057,-0.4909,-1.0861,0.0093,1.7389,1.8516,4,1
-0.3204,2.2192,-0.4723,-0.4715,-0.2293,-1.1565,-1.0394,0.4347,0.8801,-0.0757,-0.8316,4,1
0.991,-1.0306,1.1793,0.7056,-0.2293,-0.424,-0.137,0.0011,-2.1054,-1.2855,0.0069,4,1
-0.0889,1.8244,1.1793,-0.7658,-0.1722,-0.7621,0.2168,-0.0322,0.5691,0.3275,0.0907,4,1
-0.0889,1.1562,-0.5412,-0.976,-0.7717,-0.0859,-0.5263,-0.5658,-0.3639,-1.4199,-1.167,4,1
0.2968,-0.1802,1.1793,1.6725,0.1703,1.0973,1.3315,1.4018,0.0093,-0.0085,-1.2509,4,1
2.2253,3.6163,-0.6788,-0.4295,1.3978,-1.1001,-0.5263,2.1022,1.3155,0.7308,0.6777,4,0
0.1425,-0.4232,-0.0594,-0.6397,-1.1999,-0.8748,0.4822,-1.2529,-1.1725,0.798,1.2646,4,1
0.6053,-0.1195,-0.4035,-0.8919,-0.1722,-1.072,-0.4909,-0.0322,0.1337,-1.0838,-0.8316,4,1
0.2968,-0.4839,0.2847,-0.8078,-0.6861,-1.3819,-0.1724,-0.5658,-0.4261,-0.8822,-0.077,4,1
-0.4747,1.6421,-2.1928,-0.8078,0.3701,-1.4945,-1.9064,-0.2457,0.6935,-1.0838,-0.077,4,0
0.6053,-0.6662,0.3535,0.8737,-0.0581,-0.424,0.7653,1.085,0.6313,-0.4118,-0.5801,4,1
0.8367,-0.4232,0.9041,-0.8709,-0.2293,-1.2692,-0.774,-0.0989,-0.8615,0.5291,-0.1608,4,1
-0.5518,1.4599,-2.1928,-0.6817,1.1409,-1.5509,-1.8179,0.2913,2.4973,0.5963,0.8454,4,0
0.8367,3.0696,-2.124,-0.6817,0.3987,-1.4382,-1.8002,0.6681,0.6313,0.3275,0.4261,4,0
0.7596,-0.4839,0.8352,-0.8709,-0.2864,-1.3255,-0.8271,-0.0989,-0.4883,0.5963,-0.2447,4,1
-0.9375,-1.3951,1.0417,1.0839,-0.1152,2.1678,0.5707,0.368,-1.9188,-1.2855,-0.9993,4,1
-0.2432,2.4926,-1.2982,0.1801,-0.5719,-0.6494,-1.1633,-0.5258,-0.7993,-1.8903,0.51,4,1
-0.3204,2.0673,-1.5735,-0.3244,0.3416,-0.8748,-1.5348,0.1812,1.1911,-0.0757,0.51,4,0
1.6853,-0.3017,1.5923,-0.6817,-0.1722,-0.7621,0.0576,0.5014,-0.6127,1.0668,-0.1608,4,1
0.2196,0.002,-0.5412,-0.3349,-0.7146,-1.4382,-1.4464,-1.2395,-1.2969,-1.151,1.0969,4,1
-0.2432,-0.5447,-0.5412,-0.3874,0.0276,-0.9875,-0.544,-0.1656,-1.4212,-0.3446,-0.8316,4,1
-1.0146,1.9155,-2.1928,0.033,-0.6575,-1.2692,-1.4994,-0.3657,0.6313,-0.1429,0.0069,4,1
-0.3975,-0.7269,-0.6788,-0.8919,-0.5148,-1.4382,0.1461,-1.2395,-0.7371,-1.0838,0.5938,4,1
-0.1661,-0.6054,-0.9541,-0.8709,-0.2864,-1.2128,-0.9509,-0.2323,1.0045,-0.4118,-0.3285,4,1
-0.2432,-0.5447,-0.5412,-0.3874,0.0276,-0.9875,-0.544,-0.1656,-1.4212,-0.3446,-0.8316,4,1
0.7596,2.0673,-0.1282,-0.7027,-0.2579,-0.7621,0.3938,0.1012,0.0093,1.2012,0.2584,4,1
4.0766,0.731,1.1793,-0.1983,0.3987,-0.255,-1.181,1.135,-1.0481,0.2603,-0.7478,4,0
0.7596,3.4948,-0.3347,-0.7027,0.9125,-1.3255,-1.641,0.5014,0.2581,-0.4118,-0.4124,4,0
-0.7061,1.5814,0.8352,1.168,-0.1722,1.0973,2.287,0.8349,-0.1773,0.2603,-0.9993,4,1
-0.2432,-0.9091,1.9364,-0.3034,-0.5433,-1.3819,0.1107,-0.7159,-1.8566,0.3947,-0.077,4,1
-0.8604,1.5814,-1.367,-0.7658,-0.1722,-1.1001,-0.7032,-0.6726,1.2533,-0.3446,-0.077,4,1
0.6053,1.2777,-1.0229,0.5795,-0.4577,-0.9875,-0.9863,0.3013,-0.7993,-1.5543,-0.8316,4,1
0.0653,0.9132,0.0094,-0.0511,-0.3721,-0.7057,-0.2078,0.1679,0.1337,-0.5462,0.1746,4,1
-0.7832,0.245,-0.9541,0.4113,1.1123,-0.1423,1.4023,1.0116,1.9375,1.2012,-1.0832,4,1
-0.1661,3.8593,-1.9176,-0.7238,0.884,-1.0438,-0.8625,0.318,0.8179,0.4619,-0.9155,4,0
-0.7061,0.245,-1.0229,0.7056,0.6841,1.0973,1.7031,1.1117,1.5643,0.8652,-0.9155,4,1
0.0653,0.0628,-0.5412,-0.7238,0.313,-0.1423,-1.1986,0.3546,1.3155,0.0587,-0.4124,4,0
-0.6289,0.002,-0.8164,1.9878,0.1132,0.3648,0.8184,1.2017,-0.5505,-0.5462,-1.2509,4,1
-0.0889,0.7917,-2.1928,-0.6817,0.313,-1.3255,-1.8002,0.1579,1.1289,0.3275,0.3423,4,0
-0.9375,0.0628,0.9729,-0.955,-0.6575,-1.2128,-0.8979,-1.7865,0.1337,-1.2182,1.3485,4,1
-1.0918,-0.3624,-0.9541,-0.8919,0.0561,-1.3255,-0.137,-0.6059,0.0715,0.3275,-0.7897,4,1
2.071,4.0415,0.9729,-0.8499,-0.2864,0.1958,1.2254,0.6348,-1.2347,-0.2774,-0.2447,4,1
-0.0118,-0.1195,1.0417,-0.0721,-0.3435,-0.6494,-0.8979,-1.2329,-1.1725,-0.815,1.7677,4,1
0.5282,-0.3624,0.0094,-0.3874,-0.5148,-1.2128,-0.7032,-0.8993,-1.0481,-1.4871,1.0131,4,1
0.3739,-0.3624,2.1428,1.189,-0.4863,1.548,1.1192,1.0683,-0.8615,-0.6134,-1.4186,4,1
-0.7061,-0.3624,-0.6788,0.8527,-0.4577,-0.0296,-0.0839,-0.4391,-1.0481,-1.4871,0.2584,4,1
1.531,1.0954,4.6892,-0.4295,15.8136,0.0831,-0.8271,1.6353,-2.9762,9.8709,-0.9155,4,0
-1.0918,0.1235,0.4223,-0.955,-0.5433,-1.5509,-0.7209,-1.433,0.3825,-1.2855,0.7615,4,1
0.2196,2.0977,-1.7111,-0.6187,0.0561,-1.4382,-1.8887,0.5414,1.0045,0.1259,0.3423,4,0
-0.6289,-0.4232,-0.8853,-0.7238,0.7983,-0.5367,1.3315,0.1545,1.6887,0.6635,-0.7478,4,1
-0.6289,-0.4232,-0.8853,-0.7448,0.8269,-0.5367,1.42,0.1545,1.6887,0.7308,-0.8316,4,1
-1.0918,-0.3624,0.2159,-0.6607,-0.0866,0.3085,-0.0309,-0.7659,0.3825,-0.2101,-0.2447,4,1
0.1425,1.5206,-1.6423,-0.2193,0.8554,-1.3819,-1.5348,0.9016,1.0045,-0.2101,-1.2509,4,0
-1.5546,0.3969,-1.1605,-0.8394,-0.5148,-1.1565,-1.2694,-1.1495,1.8753,-0.8822,0.9292,4,1
-0.9375,-0.0587,-0.9541,-0.5136,-0.5719,-1.4382,-0.544,-1.1495,0.3825,-0.8822,0.8454,4,1
-1.0918,-0.4839,-0.1282,-0.5976,-0.629,2.5059,0.2345,-1.4997,-0.1151,-1.0166,0.8454,4,1
-0.9375,1.5206,-2.1928,-0.976,-0.5433,-0.0296,-0.367,-1.4596,-0.7371,-0.8822,0.3423,4,1
-0.6289,1.551,-1.2294,-0.0511,0.0561,-0.8748,-0.3317,0.1345,1.0045,-1.151,-1.2509,4,1
-0.3204,1.7636,-1.9176,-0.8709,0.0561,-0.3113,0.3053,-0.6626,-0.3017,-0.9494,-0.2447,4,1
0.2196,-0.4839,1.8675,1.3362,-0.2864,1.548,0.8538,1.1484,-0.3017,-0.479,-1.3347,4,1
-0.2432,0.3058,-0.5412,-0.7027,1.3122,-1.4945,-1.9241,-0.0256,1.3777,0.3275,0.7615,4,0
0.2968,0.8525,0.3535,-0.976,-0.5433,-1.4945,-0.2786,-1.4997,-1.1725,-0.9494,0.7615,4,1
-0.9375,2.0066,-1.7111,-0.8919,0.1132,-1.2128,-0.137,-0.5325,-0.6749,-1.2182,-1.5024,4,1
0.1425,0.6702,0.0094,0.3482,-0.3435,-0.7621,0.0222,0.5014,0.6313,-0.815,-0.077,4,1
-0.3204,0.6095,0.3535,-0.0721,-0.2579,0.8719,1.5085,-0.299,-0.8615,0.798,0.0069,4,1
3.6909,1.7636,1.2482,-0.8499,0.4272,-1.3819,-1.5879,1.0717,-0.9237,0.4619,-0.077,4,0
-0.0889,-0.6054,0.147,-0.8919,-0.315,-1.3819,0.2876,-1.1261,-0.3639,-0.479,0.5938,4,1
-0.6289,0.5487,-0.3347,-0.9129,-0.0581,-1.4382,-0.1016,-0.2657,0.1337,-0.0757,-1.167,4,1
-2.0175,1.0954,-1.1605,-0.7027,-0.0581,-1.2692,-0.8979,-0.4324,4.2388,0.1931,2.1869,4,0
0.2968,-0.6662,-0.4035,2.0719,0.313,0.0831,0.8892,1.3018,-1.1725,-0.6134,-1.0832,4,1
-0.7832,0.6702,-0.4035,-0.2193,0.1989,1.8298,1.5969,-0.2323,0.3203,-0.0757,-0.5801,4,1
0.9139,2.0066,-0.8853,-0.6817,1.0552,-1.1001,-0.7209,0.8882,-0.1151,0.3947,-1.0832,4,0
1.2224,1.6421,-0.1282,-0.5556,0.9125,-0.7621,-1.234,0.9683,0.2581,-0.1429,-0.9993,4,0
-0.5518,-0.3624,-0.2659,0.6425,-0.2579,1.3227,1.6677,0.5014,-0.7993,0.0587,-1.3347,4,1
